Attr1,Attr2,Attr3,Attr4,Attr6,Attr8,Attr9,Attr10,Attr11,Attr12,Attr16,Attr17,Attr22,Attr25,Attr26,Attr29,Attr33,Attr34,Attr35,Attr40,Attr46,Attr48,Attr50,Attr51,Attr55,Attr63,class
0.098582283,-0.079038656,0.848377949,0.505376641,0.054687707,1.380454936,3.288826092,0.109299238,0.328664978,0.578494412,1.01328628,1.293696027,0.334686416,0.18522827,1.144195428,-1.181575053,5.676933399,10.04912503,0.532929216,-0.11124238,0.674312679,0.395604812,1.139372301,-1.08953312,-0.120305628,5.469764634,0
-0.414167153,0.253487039,-3.534237058,-0.32865417,-0.136593487,-0.806325547,-0.424415478,-0.403824191,-1.592794666,-0.275461724,-0.80580735,-0.728267886,-1.22347706,-0.951221617,-0.814495168,2.467008946,-0.578144113,-0.667264556,-1.437040512,-0.185371183,-0.275833837,-0.924727302,-0.643606645,4.398899119,-16.64734213,-0.609499454,0
-0.025802987,-0.008365557,0.56896025,0.137534743,-0.021734134,-0.143788586,-0.398179581,0.019645353,-0.077678185,-0.007010648,-0.207540751,-0.166484472,-0.084245841,0.064037406,-0.218444262,0.668919813,-0.045093086,-0.027718735,-0.152576722,0.045302122,0.144539565,-0.067637755,-0.254688387,-0.839913983,0.208049367,-0.066774599,0
-0.049020128,-0.053784389,1.117131142,0.115798727,-0.016810767,0.434405226,-0.335682504,0.074469692,-0.26059783,-0.14080802,-0.31848793,0.400377732,-0.257285543,0.277989227,-0.276786167,-0.272915429,0.000420792,-0.606993522,-0.303978014,-0.190617939,0.097525551,-0.110641985,0.955553679,-0.444583223,-0.023425752,-0.045358401,0
-0.031931862,-0.00565999,-0.478874087,-0.211192993,-0.011609587,-0.163880566,-0.635674608,0.016213148,0.11585504,-0.090378941,-0.071235881,-0.185731999,0.113831124,0.041412599,-0.05082505,0.713692218,-0.433715218,-0.273426386,0.054558643,0.073410097,-0.11712804,-0.112501607,-0.546623817,-0.442911059,-0.132315624,-0.428104589,0
0.008277747,-0.013628693,-0.707783692,-0.249171818,-0.0136022,-0.101721003,-0.190745082,0.026322018,0.1072416,-0.066462889,-0.203635083,-0.126184964,0.086820438,0.03047338,-0.166112295,-0.481804386,-0.274446176,0.194648756,-0.157185529,-0.178776487,-0.252215158,0.152878561,-0.481616485,-0.140093763,-0.155019681,-0.299551599,0
-0.019118479,0.042952335,-0.78683482,-0.241773538,-0.0136022,-0.409461854,0.605452666,-0.045455066,-0.033405933,-0.126436216,-0.250459369,-0.420987896,-0.036048163,-0.130380633,-0.235375654,-1.537111985,-0.270158209,0.369922546,-0.030556576,-0.200807635,-0.168720615,-0.140406865,-0.353984369,1.017238398,-0.147442591,-0.297721346,0
0.018093188,0.03333948,-0.561916951,-0.222970193,-0.0136022,-0.373453258,0.402724225,-0.033260471,0.084213072,-0.099301264,-0.272523474,-0.386515276,0.086749059,-0.093718041,-0.24028717,-0.248400702,-0.285479128,0.289821915,0.116560889,-0.206418379,-0.17650417,0.122582359,-0.320806033,0.763808281,-0.148338573,-0.305087,0
-0.036278877,0.051427464,-0.563954292,-0.222834871,-0.017702894,-0.437810382,-0.016375629,-0.056206374,-0.077868675,-0.139418461,-0.414446383,-0.448167508,-0.091736447,-0.057847053,-0.407022937,0.441975099,-0.396753649,-0.002947639,-0.370541798,-0.194231188,-0.259875874,0.021282051,-0.34753067,0.932230229,-0.156002457,-0.429254078,0
0.147248116,-0.026811971,-0.46624219,-0.208105972,-0.0136022,0.025070378,1.509721152,0.04304595,0.744553323,0.318643611,0.474858,-0.004722547,0.74885307,0.181790445,0.378155856,-1.076616792,0.794557048,1.952379029,0.807882,-0.143478513,-0.103785999,0.728917616,-0.462571519,-0.494942591,-0.143643222,0.800609331,0
-0.049440517,-0.039747817,0.01455884,-0.03064451,-0.0136022,0.191300118,-0.283639929,0.059455996,0.023600131,0.01174735,-0.2422837,0.154520658,0.015806645,0.204822363,-0.380957381,-1.448301149,0.020915622,0.232679861,0.480587739,-0.190830019,0.065698962,0.169513268,-0.318392643,-0.888795625,-0.138435764,0.090191961,0
-0.032910137,-0.074869308,0.573967599,0.201347288,-0.0136022,1.150456706,0.004012184,0.104010122,-0.180745446,-0.055518524,0.23862343,1.073364481,-0.182366893,-0.237699572,0.310085069,-0.443197361,0.519087638,1.855234358,-0.294268005,-0.186464627,-0.078665328,-0.190216368,0.795329226,-0.936860627,-0.082740761,0.449066733,0
